x,y,z,g,wa,wr
93.0,97.0,97.0,138,92.0,90
85.988556,68.80614,97.0,138,92.0,90
83.22002,56.711693,97.0,138,92.0,90
82.815445,56.921505,97.0,138,92.0,90
83.472336,64.71173,97.0,138,92.0,90
84.411514,76.43352,97.0,138,92.0,90
85.198715,89.67693,96.99999,138,92.0,90
85.58131,102.97004,96.99997,138,92.0,90
85.37773,115.45383,96.999954,138,92.0,90
84.42504,126.64291,97.0,138,92.0,90
82.57412,136.27226,97.0,138,92.0,90
79.71502,144.20384,97.0,138,92.0,90
75.817154,150.37648,97.0,138,92.0,90
70.96012,154.77538,97.0,138,92.0,90
65.34762,157.4201,96.999954,138,92.0,90
59.2971,158.36565,96.999886,138,92.0,90
53.205956,157.7079,96.9995,138,92.0,90
47.504795,155.59868,96.99852,138,92.0,90
42.60223,152.25208,96.996216,138,92.0,90
38.83492,147.94543,96.99134,138,92.0,90
36.429825,143.00981,96.981674,138,92.0,90
35.482784,137.80637,96.96264,138,92.0,90
35.957558,132.70027,96.928085,138,92.0,90
37.70074,128.0266,96.868744,138,92.0,90
40.469864,124.058945,96.77057,138,92.0,90
43.969894,120.99064,96.6159,138,92.0,90
47.889915,118.92146,96.382,138,92.0,90
51.936295,117.8587,96.041565,138,92.0,90
55.85818,117.72861,95.5636,138,92.0,90
59.463425,118.39545,94.91514,138,92.0,90
62.62449,119.68463,94.063515,138,92.0,90
65.27605,121.40608,92.97951,138,92.0,90
67.406265,123.37494,91.64058,138,92.0,90
69.04443,125.427414,90.03446,138,92.0,90
70.24727,127.43085,88.162506,138,92.0,90
71.08632,129.28807,86.04215,138,92.0,90
71.637115,130.93706,83.70881,138,92.0,90
71.971245,132.34697,81.21626,138,92.0,90
72.151436,133.51224,78.63567,138,92.0,90
72.228935,134.44562,76.05336,138,92.0,90
72.243195,135.1715,73.56714,138,92.0,90
72.22264,135.72046,71.281494,138,92.0,90
72.18645,136.12465,69.30249,138,92.0,90
72.14656,136.41446,67.73185,138,92.0,90
72.10958,136.61705,66.66163,138,92.0,90
72.07854,136.75517,66.169365,138,92.0,90
72.05425,136.84697,66.31419,138,92.0,90
72.036194,136.90656,67.13425,138,92.0,90
72.02339,136.94424,68.64516,138,92.0,90
72.01466,136.9675,70.840256,138,92.0,90
72.0089,136.98143,73.69136,138,92.0,90
72.005264,136.98953,77.1509,138,92.0,90
72.00302,136.99397,81.15419,138,92.0,90
72.001686,136.99612,85.62224,138,92.0,90
72.000916,136.99669,90.46414,138,92.0,90
72.0005,136.9958,95.579384,138,92.0,90
72.0003,136.99324,100.8597,138,92.0,90
72.00025,136.98819,106.19055,138,92.0,90
72.0004,136.9792,111.452415,138,92.0,90
72.00073,136.96384,116.521935,138,92.0,90
72.00145,136.93822,121.27379,138,92.0,90
72.00286,136.8965,125.58294,138,92.0,90
72.005424,136.82986,129.32805,138,92.0,90
72.01001,136.72592,132.3961,138,92.0,90
72.01798,136.56691,134.68794,138,92.0,90
72.03148,136.32867,136.12506,138,92.0,90
72.0537,135.9792,136.6562,138,92.0,90
72.0895,135.47739,136.26384,138,92.0,90
72.145645,134.77188,134.96936,138,92.0,90
72.231674,133.8013,132.83548,138,92.0,90
72.36036,132.49516,129.966,138,92.0,90
72.548355,130.77654,126.50133,138,92.0,90
72.816574,128.56635,122.610504,138,92.0,90
73.19026,125.7903,118.48001,138,92.0,90
73.69856,122.38702,114.2998,138,92.0,90
74.37346,118.317986,110.249054,138,92.0,90
75.24778,113.57745,106.48251,138,92.0,90
76.352325,108.201035,103.11951,138,92.0,90
77.712204,102.27137,100.23725,138,92.0,90
79.342224,95.91854,97.86882,138,92.0,90
81.24257,89.31398,96.006035,138,92.0,90
83.39407,82.65725,94.606766,138,92.0,90
85.755325,76.156715,93.60477,138,92.0,90
88.26127,70.00561,92.92055,138,92.0,90
90.82511,64.35855,92.47123,138,92.0,90
93.34357,59.312256,92.17769,138,92.0,90
95.706116,54.895523,91.967896,138,92.0,90
97.80769,51.0718,91.776115,138,92.0,90
99.563354,47.754875,91.537735,138,92.0,90
100.922585,44.83525,91.18093,138,92.0,90
101.87928,42.211464,90.61563,138,92.0,90
102.47416,39.81868,89.72229,138,92.0,90
102.78647,37.646736,88.34323,138,92.0,90
102.914986,35.740963,86.28274,138,92.0,90
102.953,34.182716,83.3256,138,92.0,90
102.965614,33.050434,79.28935,138,92.0,90
102.97991,32.369713,74.12415,138,92.0,90
102.99386,32.072838,68.05971,138,92.0,90
102.99964,32.00343,61.728497,138,92.0,90
103.0,32.0,55.999504,138,92.0,90
